,video_id,frame_seq,m1,time_seconds,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
10,2,11,7.0,0.3670333333333326,89.05054744357274,10.0,22.02271554554524,28.0,29.017236257093817,30.14962686336267,69.1158447825099,47.095647357266465,43.5,36.0,39.0,7.5,31.5,6.5,0.5,10.198039027185569,10.04987562112089,10.0,45.0,42.0,51.0098029794274
11,2,12,12.041594578792296,0.4003999999999992,92.02173656261873,10.0,22.02271554554524,29.017236257093817,30.01666203960727,29.068883707497267,73.10950690573696,51.088159097779204,45.0,37.0,39.0,9.0,35.0,10.0,0.0,13.152946437965905,13.152946437965905,13.0,49.0,45.0,55.00909015790027
12,2,13,17.029386365926403,0.4337666666666658,91.0,11.0,22.02271554554524,29.0,31.0,28.071337695236398,78.10249675906654,56.08029957123981,47.5,40.0,40.0,12.0,38.0,13.0,3.0,12.165525060596439,13.152946437965905,12.5,46.0,44.0,53.08483775994799
13,2,14,19.026297590440446,0.4671333333333324,94.00531899844816,12.041594578792296,22.0,30.0,32.0,27.0,80.02499609497022,58.034472514187634,48.5,40.0,41.0,13.5,39.5,14.5,3.5,11.180339887498949,11.045361017187261,11.0,46.0,45.0,55.0
14,2,15,19.0,0.5004999999999991,93.00537618869137,11.0,22.0,31.016124838541646,34.0147027033899,27.018512172212592,79.00632886041473,57.0087712549569,47.5,42.0,41.0,14.5,37.5,13.5,5.5,9.055385138137417,9.055385138137417,9.0,45.0,45.0,55.0
15,2,16,18.0,0.5338666666666656,97.0051545022222,12.041594578792296,22.0,32.0,34.0147027033899,26.0,78.00640999302557,56.00892785976178,47.0,42.0,41.0,15.5,36.5,11.5,5.5,8.246211251235321,8.0,8.0,44.0,43.0,54.00925846556311
16,2,17,12.041594578792296,0.5672333333333321,99.00505037623081,12.0,23.0,32.01562118716424,33.0,27.0,74.00675644831355,51.0098029794274,45.0,41.0,40.0,13.5,33.5,8.5,3.5,9.219544457292887,10.04987562112089,9.5,45.0,44.0,52.0
17,2,18,10.04987562112089,0.6005999999999987,98.0,12.0,22.0,31.016124838541646,32.01562118716424,26.0,70.00714249274856,48.010415536631214,43.0,40.0,40.0,14.0,30.0,6.0,4.0,10.04987562112089,11.045361017187261,10.5,44.0,44.0,51.0098029794274
18,2,19,11.0,0.6339666666666652,97.0051545022222,12.0,22.0,31.016124838541646,33.0,27.018512172212592,72.00694410957877,50.00999900019995,44.5,41.0,40.0,13.5,31.5,6.5,3.5,10.04987562112089,10.0,10.0,44.0,43.0,53.009433122794285
19,2,20,13.038404810405298,0.6673333333333318,97.0051545022222,11.0,20.024984394500787,31.016124838541646,32.01562118716424,27.0,71.0,51.0098029794274,44.5,41.0,40.0,13.5,30.5,7.5,4.5,8.06225774829855,8.06225774829855,7.5,45.0,42.0,49.01020301937138
20,2,21,17.0,0.7006999999999983,99.00505037623081,11.0,20.0,30.01666203960727,33.0,26.019223662515376,74.00675644831355,54.00925846556311,45.5,40.0,39.0,13.5,34.5,11.5,4.5,8.06225774829855,7.0710678118654755,7.0,45.0,42.0,48.041648597857254
21,2,22,16.0,0.7340666666666649,98.0,12.0,22.0,30.01666203960727,33.015148038438355,27.018512172212592,77.00649323271382,55.00909015790027,47.0,40.0,40.0,13.0,37.0,12.0,3.0,8.06225774829855,8.06225774829855,8.0,44.0,44.0,52.0
